comunidad,num.entrevista,nombre.recurso,tipo.terreno,terreno.tamano.m2.,riego,manejo.producto,manejo.herramienta,manejo.estructura
Aticpac,10,tepexilotl,parcela,7500,temporal,NA,manual,rotacion_cultivo
Aticpac,10,jinicuil,huerto,1000,temporal,NA,manual,NA
Aticpac,10,jinicuil,huerto,1000,temporal,NA,manual,NA
Aticpac,10,tempeskistle,huerto,1000,temporal,NA,manual,NA
Aticpac,10,tempeskistle,huerto,1000,temporal,NA,manual,NA
Aticpac,10,guayaba,parcela,10000,temporal,NA,manual,rotacion_cultivo
Aticpac,10,guayaba,parcela,10000,temporal,NA,manual,rotacion_cultivo
Aticpac,10,naranja,parcela,7500,temporal,NA,manual,rotacion_cultivo
Aticpac,10,naranja,parcela,7500,temporal,NA,manual,rotacion_cultivo
Aticpac,10,naranja,parcela,10000,temporal,NA,manual,rotacion_cultivo
Aticpac,10,naranja,parcela,10000,temporal,NA,manual,rotacion_cultivo
Aticpac,10,encino,parcela,10000,temporal,NA,manual,rotacion_cultivo
Aticpac,10,xokokilitl,huerto,1000,temporal,NA,manual,NA
Aticpac,10,yoloxochitl,huerto,1000,temporal,NA,manual,NA
Aticpac,10,yoloxochitl,huerto,1000,temporal,NA,manual,NA
Aticpac,10,chayote,huerto,1000,temporal,NA,manual,NA
Aticpac,10,tzopelikilitl,huerto,1000,temporal,NA,manual,NA
Aticpac,10,tzopelikilitl,parcela,10000,temporal,NA,manual,rotacion_cultivo
Aticpac,10,aztokilitl,huerto,1000,temporal,NA,manual,NA
Aticpac,10,aztokilitl,parcela,10000,temporal,NA,manual,rotacion_cultivo
Aticpac,10,laurel,huerto,1000,temporal,NA,manual,NA
Aticpac,10,laurel,huerto,1000,temporal,NA,manual,NA
Aticpac,10,camedor,parcela,10000,temporal,NA,manual,rotacion_cultivo
Aticpac,10,camedor,parcela,10000,temporal,NA,manual,rotacion_cultivo
Aticpac,10,camedor,parcela,10000,temporal,NA,manual,rotacion_cultivo
Aticpac,10,cafe,parcela,7500,temporal,abono_plantas,manual,rotacion_cultivo
Aticpac,10,cafe,parcela,7500,temporal,cal,manual,rotacion_cultivo
Aticpac,10,iztananacatl,parcela,10000,temporal,NA,manual,NA
Aticpac,10,tonagas,parcela,10000,temporal,NA,manual,NA
Aticpac,10,huitlacoche,huerto,1000,temporal,NA,manual,NA
Aticpac,10,chiltepe,parcela,7500,temporal,NA,manual,rotacion_cultivo
Aticpac,10,chiltepe,parcela,10000,temporal,NA,manual,rotacion_cultivo
Aticpac,10,tekilitl,monte,NA,NA,NA,manual,NA
Aticpac,10,zarzamora,monte,NA,NA,NA,manual,NA
Aticpac,10,jonote,monte,NA,NA,NA,manual,NA
Aticpac,11,maiz,parcela,10000,temporal,NA,manual,division_cultivo
Aticpac,11,frijol,parcela,10000,temporal,NA,manual,division_cultivo
Aticpac,11,cafe,parcela,10000,temporal,NA,manual,division_cultivo
Aticpac,11,tepexilotl,parcela,10000,temporal,NA,manual,division_cultivo
Aticpac,11,tzopelikilitl,parcela,10000,temporal,NA,manual,division_cultivo
Aticpac,11,aztokilitl,parcela,10000,temporal,NA,manual,division_cultivo
Aticpac,11,velikmoli,parcela,10000,temporal,NA,manual,division_cultivo
Aticpac,11,velikmoli,parcela,10000,temporal,NA,manual,division_cultivo
Aticpac,11,iztananacatl,parcela,10000,temporal,NA,manual,NA
Aticpac,11,chilnanacatl,monte,NA,NA,NA,manual,NA
Aticpac,11,kaxpalzi,monte,NA,NA,NA,manual,NA
Aticpac,11,yoloxochitl,parcela,10000,temporal,NA,manual,division_cultivo
Aticpac,11,yoloxochitl,parcela,10000,temporal,NA,manual,division_cultivo
Aticpac,11,laurel,monte,NA,NA,NA,manual,NA
Aticpac,11,tekilitl,monte,NA,NA,NA,manual,NA
Aticpac,11,tehuantekilitl,monte,NA,NA,NA,manual,NA
Aticpac,12,cafe,huerto,10000,temporal,NA,manual,NA
Aticpac,12,cafe,parcela,50000,temporal,NA,manual,rotacion_cultivo
Aticpac,12,tepexilotl,huerto,10000,temporal,NA,manual,NA
Aticpac,12,tepexilotl,parcela,50000,temporal,NA,manual,rotacion_cultivo
Aticpac,12,ocote,huerto,10000,temporal,NA,manual,NA
Aticpac,12,tzopelikilitl,huerto,10000,temporal,NA,manual,NA
Aticpac,12,tzopelikilitl,parcela,50000,temporal,NA,manual,rotacion_cultivo
Aticpac,12,aztokilitl,huerto,10000,temporal,NA,manual,NA
Aticpac,12,aztokilitl,parcela,50000,temporal,NA,manual,rotacion_cultivo
Aticpac,12,alcatraz,huerto,10000,temporal,NA,manual,NA
Aticpac,12,camedor,huerto,10000,temporal,NA,manual,NA
Aticpac,12,velikmoli,huerto,10000,temporal,NA,manual,NA
Aticpac,12,velikmoli,huerto,10000,temporal,NA,manual,NA
Aticpac,12,yoloxochitl,huerto,10000,temporal,NA,manual,NA
Aticpac,12,yoloxochitl,huerto,10000,temporal,NA,manual,NA
Aticpac,12,yoloxochitl,huerto,10000,temporal,NA,manual,NA
Aticpac,12,ruda,huerto,10000,temporal,NA,manual,NA
Aticpac,12,hierbamaestra,huerto,10000,temporal,NA,manual,NA
Aticpac,12,zacate_limon,huerto,10000,temporal,NA,manual,NA
Aticpac,12,epazote,huerto,10000,temporal,NA,manual,NA
Aticpac,12,laurel,huerto,10000,temporal,NA,manual,NA
Aticpac,12,maiz,parcela,50000,temporal,NA,manual,rotacion_cultivo
Aticpac,12,frijol,parcela,50000,temporal,NA,manual,rotacion_cultivo
Aticpac,12,chilnanacatl,monte,NA,NA,NA,manual,NA
Aticpac,12,iztananacatl,monte,NA,NA,NA,manual,NA
Aticpac,12,alaktzin,parcela,50000,temporal,NA,manual,NA
Aticpac,12,kaxpalzi,parcela,50000,temporal,NA,manual,NA
Aticpac,12,tekilitl,monte,NA,NA,NA,manual,NA
Aticpac,13,maiz,parcela,180000,temporal,abono_plantas,manual,division_cultivo
Aticpac,13,frijol,parcela,180000,temporal,abono_plantas,manual,division_cultivo
Aticpac,13,maiz,parcela,180000,temporal,abono_plantas,manual,rotacion_cultivo
Aticpac,13,frijol,parcela,180000,temporal,abono_plantas,manual,rotacion_cultivo
Aticpac,13,cafe,parcela,180000,temporal,abono_plantas,manual,division_cultivo
Aticpac,13,cafe,parcela,180000,temporal,abono_plantas,manual,rotacion_cultivo
Aticpac,13,cafe,parcela,180000,temporal,cal,manual,division_cultivo
Aticpac,13,cafe,parcela,180000,temporal,cal,manual,rotacion_cultivo
Aticpac,13,aztokilitl,parcela,180000,temporal,abono_plantas,manual,division_cultivo
Aticpac,13,aztokilitl,parcela,180000,temporal,abono_plantas,manual,rotacion_cultivo
Aticpac,13,tomakilitl,parcela,180000,temporal,abono_plantas,manual,division_cultivo
Aticpac,13,tomakilitl,parcela,180000,temporal,abono_plantas,manual,rotacion_cultivo
Aticpac,13,tzopelikilitl,parcela,180000,temporal,abono_plantas,manual,division_cultivo
Aticpac,13,tzopelikilitl,parcela,180000,temporal,abono_plantas,manual,rotacion_cultivo
Aticpac,13,tepexilotl,parcela,10000,temporal,abono_plantas,manual,NA
Aticpac,13,cafe,parcela,180000,temporal,abono_plantas,manual,division_cultivo
